1;Todos
2;Administração 
3;Arquitetura e Urbanismo 
4;Biomedicina 
5;Ciência da Computação 
6;Ciências Contábeis 
7;Direito 
8;Educação Física 
9;Enfermagem 
10;Engenharia Civil 
11;Engenharia de Controle e Automação 
12;Engenharia de Produção Mecânica 
13;Engenharia Elétrica 
14;Farmácia 
15;Fisioterapia 
16;Gastronomia
17;Gestão de Recursos Humanos
18;Letras 
19;Logística
20;Marketing
21;Nutrição 
22;Pedagogia 
23;Psicologia 
24;Publicidade e Propaganda 
25;Serviço Social 
